categoria,url,fecha,info,paginas
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/017250-1.pdf,2026-06-13,,132
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/012230-1.pdf,2026-06-13,,110
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/022240-4.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/030230-1.pdf,2026-06-13,,109
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/003240-3.pdf,2026-06-13,,20
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/058230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/011240-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/023260-2.pdf,2026-06-13,,20
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/016240-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/044250-1.pdf,2026-06-13,,100
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/032240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/076230-1.pdf,2026-06-13,,98
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/005230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/051250-3.pdf,2026-06-13,,2
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/001240-3.pdf,2026-06-13,,26
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/005230-1.pdf,2026-06-13,,143
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/033240-3.pdf,2026-06-13,,16
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/012260-1.pdf,2026-06-13,,99
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/022240-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/035240-3.pdf,2026-06-13,,12
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/033260-1.pdf,2026-06-13,,604
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/024250-1.pdf,2026-06-13,,21
